year,rain_mm,temp_c,spei,generation,generation_smooth,PET,runoff_mm,storage,simulated_generation
1981,892.6275263,27.253219666666663,0.9662378433333334,5341.0,5141.0,37.822177910166666,384.662406775425,248.84048755310266,14557.077450870718
1982,812.6142179,26.947924166666667,0.4924346978,4941.0,4276.333333333333,37.56588233791666,348.77175100293755,189.549878099039,11088.598497067243
1983,697.1014233,27.63036333333333,-0.6762783524999999,2547.0,3095.333333333333,38.13879001833333,296.53318497674996,78.02070261878771,4564.182549074432
1984,872.2450564,27.2420425,-0.7558041116666666,1798.0,2443.6666666666665,37.812794678749995,375.4945177745625,45.452859936349114,2658.975671375881
1985,955.3851946,26.980967333333336,-0.1077785329166666,2986.0,3052.0,37.59362207633333,413.00620763565,50.39670711499798,2948.188921970812
1986,873.1076376999999,26.96891033333333,0.3321588991666667,4372.0,4011.3333333333335,37.58350022483333,375.985861863825,18.32020852182154,1071.725493671308
1987,925.6818271,27.810941,-0.5293946483333333,4676.0,4618.333333333333,38.290384969499996,399.326148958725,9.58399702354518,560.6603183129074
1988,975.7261469,27.309939083333333,-0.3480386844166667,4807.0,4904.333333333333,37.86979386045833,422.0353588677938,23.556995434337296,1378.0756114869628
1989,1046.5140715,26.96785241666667,-0.0635725303333333,5230.0,5252.333333333333,37.58261210379167,454.01915672829375,69.51379170562996,4066.5313740257247
1990,844.0973364,27.28601833333333,-0.4933548612583333,5720.0,5686.0,37.849712390833325,362.811430804125,24.262862052753917,1419.3685503302938
1991,1022.6413603,26.95423625,0.2139471615,6108.0,5916.916666666667,37.571181331875,443.28158053565625,59.48208213140833,3479.6800353527037
1992,846.2093397,26.89785008333333,0.3246701729999999,5922.75,5922.75,37.52384514495834,363.9084725497687,15.328194224175604,896.6937522805514
1993,910.5407576,27.224617,-0.6831298075,5737.5,5737.5,37.7981659715,392.73416623282503,0.0,0.0
1994,1022.792434,27.088500916666664,0.0117722016666666,5552.25,5552.25,37.68389651954167,443.2988418662062,35.236481409205226,2061.3212665423066
1995,989.0151281,27.14138533333333,0.6039590114166667,5367.0,5367.0,37.72829298733333,428.07907580069997,55.25319675290302,3232.2917884034628
1996,947.133561,27.09448225,-0.1499671075833333,5181.75,5181.75,37.688917848875,409.25008941800627,56.440925713908655,3301.773497935604
1997,918.5572805,27.25930783333333,-0.3922981986666666,4996.5,4996.5,37.827288926083334,396.3284962082625,44.70706146517023,2615.3467337602724
1998,919.5054123,27.835164416666668,-0.7241493066666668,4811.25,4811.25,38.310720527791666,396.53761129749375,33.18231230566289,1941.1531257727295
1999,1103.361948,26.97975675,0.1005617834166666,4626.0,4626.0,37.592605791625004,479.59620399376877,104.71615584243045,6125.856792618641
2000,876.5947824,27.245353666666663,-0.09940111,4440.75,4440.75,37.815574403166664,377.45064359857497,74.10443898400354,4335.082559719139
2001,843.3116079,27.428959833333334,-1.2156410416666663,4255.5,4255.5,37.96971178008334,362.4038532539625,28.4459317809642,1664.076598504951
2002,936.9732446,27.44479875,-1.2117375583333334,4070.25,4070.25,37.983008550625,404.5456062222188,24.929177546180654,1458.3477628366923
2003,1035.3962366,27.51219683333333,-0.39814229825,3885.0,4411.75,38.03958924158333,448.81049131128754,65.67730840046715,3842.0985047551667
2004,902.6273325,27.4457855,0.10146631,5280.0,4891.25,37.983836927249996,389.0895730077375,46.70452095120345,2732.1973826602302
2005,903.7869615,27.598421666666667,-0.5176688116666667,5508.75,5508.75,38.11197498916666,389.553743929875,28.195904424077526,1649.4500896324384
2006,911.7867275,27.612235916666663,-0.7762661666666667,5737.5,5737.5,38.12357205204166,393.1484199515812,13.28196391865822,776.9900282899816
2007,1021.4029794,27.602175416666668,-0.1796606488333333,5966.25,5966.25,38.11512626229167,442.47953391196876,47.69913737362549,2790.382079360826
2008,1016.036686,27.475410416666666,0.2393375799999999,6195.0,6346.083333333333,38.00870704479167,440.11259052984377,79.74936744646766,4665.308808834565
2009,1004.725994,27.783904916666668,0.0810053943333333,6877.0,6689.0,38.267688177541665,434.90623762010625,106.59324460957032,6235.66579851678
2010,1088.234998,28.029764666666665,0.0739160725,6995.0,7145.666666666667,38.47408743766666,472.39240975305,170.92329390562008,9998.95013873528
2011,974.5940746,27.73913083333333,-0.0270649033333333,7565.0,7543.333333333333,38.230100334583334,421.3637884194375,184.2247218680568,10777.078806462827
2012,1017.2613395,27.534932583333333,-0.2352309708333333,8070.0,7835.333333333333,38.058675903708334,440.6411986183312,216.80356002938788,12682.928915652446
2013,802.8116793,27.6910935,-0.1788496491666666,7871.0,7263.333333333333,38.18977299325,344.0798578380375,152.82105741042506,8939.97592884792
2014,906.2967184,27.710609416666667,-0.6047640308333334,5849.0,6231.333333333333,38.20615660529167,390.64075280761875,135.39944976104198,7920.818257343071
2015,880.9307913,27.901382416666667,-0.64661974,4974.0,5156.333333333333,38.366310538791666,379.15401634254374,106.4911056465844,6229.690706563063
2016,947.355178,28.163693666666664,-0.4618604037916667,4646.0,4884.666666666667,38.58652083316666,408.945895725075,107.37464091465881,6281.377196387956
2017,894.428736,28.066454500000003,-0.4959940783333333,5034.0,4908.0,38.50488855275,385.1657313512625,84.4780118089202,4941.932773442235
2018,993.3440418,27.85826625,-0.3204508233333333,5044.0,5428.666666666667,38.330114516875,429.75626727740627,106.17191862932305,6211.01838286978
2019,1046.8851432,28.149312416666664,0.4045512625,6208.0,5758.333333333333,38.57444777379166,453.73981294179373,151.84937111411637,8883.132636132956
2020,971.1389496,28.07999666666667,0.4067970825,6023.0,6253.333333333333,38.51625720166667,419.68021157925,163.46722223636607,9562.772674867341
2021,1026.4485941,28.28701525,-0.2108239443608333,6529.0,6437.666666666667,38.690049302375,444.49134515893127,199.89620693829602,11693.85494760004
2022,1028.2947628,27.637046833333333,-0.1846343116666666,6761.0,7025.333333333333,38.14440081658333,445.5676628925375,237.40150937383078,13887.901413836367
2023,1022.8007565,28.150759333333337,0.0075116951666666,7786.0,7273.5,38.575662460333334,442.90129231785005,272.24044123467684,15925.966177295397
